Unnamed: 0,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
73,1,1,1,1,0,2239,2524.0,128.0,360.0,1.0,2,1
74,1,1,0,1,0,4467,0.0,120.0,360.0,1.0,0,1
75,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0
76,1,1,2,0,0,8000,0.0,200.0,360.0,1.0,1,1
77,1,1,0,0,0,8334,0.0,160.0,360.0,1.0,1,0
78,1,1,2,1,0,3917,0.0,124.0,360.0,1.0,1,1
79,1,1,0,0,0,6256,0.0,160.0,360.0,1.0,2,1
80,1,1,0,0,0,1809,1868.0,90.0,360.0,1.0,2,1
81,1,1,0,0,1,2479,3013.0,188.0,360.0,1.0,2,1
82,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0
83,1,1,3,0,0,5167,3167.0,200.0,360.0,1.0,1,1
84,1,1,0,0,1,2577,3750.0,152.0,360.0,1.0,0,1
85,0,1,0,0,1,5500,0.0,105.0,360.0,0.0,0,0
86,1,0,3,1,0,4707,1993.0,148.0,360.0,1.0,1,1
87,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,0
88,1,1,0,0,1,3459,0.0,25.0,120.0,1.0,1,1
89,1,1,3,0,0,6417,0.0,157.0,180.0,1.0,0,1
90,0,0,1,1,1,3867,0.0,62.0,360.0,1.0,1,0
91,1,1,0,0,0,2221,0.0,60.0,360.0,0.0,2,0
92,1,1,0,0,1,39147,4750.0,120.0,360.0,1.0,1,1
93,1,1,0,0,0,10833,0.0,234.0,360.0,1.0,1,1
94,1,1,2,0,1,6000,0.0,205.0,240.0,1.0,1,0
95,1,1,2,1,0,2309,1255.0,125.0,360.0,0.0,0,0
96,1,1,0,0,0,3927,800.0,112.0,360.0,1.0,1,1
97,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1,1
98,1,1,3,0,0,4691,0.0,100.0,360.0,1.0,1,1
99,1,1,2,0,1,4583,2083.0,160.0,360.0,1.0,1,1
100,1,1,2,0,0,4009,1717.0,116.0,360.0,1.0,1,1
101,0,0,1,0,0,13262,0.0,40.0,360.0,1.0,2,1
102,0,1,0,0,0,4180,2306.0,182.0,360.0,1.0,1,1
103,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,0
104,1,1,3,1,0,3992,0.0,120.0,180.0,1.0,2,0
105,1,1,1,1,0,1958,2436.0,131.0,360.0,1.0,0,1
106,1,1,1,0,0,9538,0.0,187.0,360.0,1.0,2,1
107,1,0,0,1,0,3358,0.0,80.0,36.0,1.0,1,0
108,1,0,0,0,0,4095,3447.0,151.0,360.0,1.0,0,1
109,1,0,0,1,0,3189,2598.0,120.0,360.0,1.0,0,1
110,1,1,3,0,0,4106,0.0,40.0,180.0,1.0,0,1
111,1,1,0,0,0,3497,1964.0,116.0,360.0,1.0,0,1
112,1,0,0,0,1,5166,0.0,128.0,360.0,1.0,1,1
113,1,1,0,0,0,5708,5625.0,187.0,360.0,1.0,1,1
114,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1
115,1,1,1,0,1,2895,0.0,95.0,360.0,1.0,1,1
116,1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1
117,1,1,0,0,0,9323,0.0,75.0,180.0,1.0,2,1
118,1,1,3,0,1,10139,0.0,260.0,360.0,1.0,1,1
119,1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,2,0
120,1,0,0,0,0,6000,0.0,140.0,360.0,1.0,0,1
121,1,0,0,0,1,10416,0.0,187.0,360.0,0.0,2,0
122,1,1,2,0,0,3100,1400.0,113.0,360.0,1.0,2,1
123,1,1,0,0,0,4301,0.0,118.0,360.0,1.0,2,1
124,1,1,1,0,0,6000,0.0,160.0,360.0,1.0,0,1
125,1,0,0,0,0,3583,0.0,96.0,360.0,1.0,2,0
126,1,1,0,0,0,4625,2857.0,111.0,12.0,1.0,2,1
127,1,1,0,0,0,5667,2667.0,180.0,360.0,1.0,0,1
128,1,1,0,0,0,2130,6666.0,70.0,180.0,1.0,1,0
129,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0
130,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1
131,0,0,0,1,0,4350,0.0,154.0,360.0,1.0,0,1
132,1,0,0,1,0,2550,2042.0,126.0,360.0,1.0,0,1
133,1,1,0,0,0,3087,2210.0,136.0,360.0,0.0,1,0
134,1,0,0,1,1,2583,2167.0,104.0,360.0,1.0,0,1
135,1,0,3,0,0,9167,0.0,185.0,360.0,1.0,0,1
136,1,1,0,0,1,9963,0.0,180.0,360.0,1.0,0,1
137,1,1,3,0,0,5516,11300.0,495.0,360.0,0.0,1,0
138,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,1
139,1,1,0,0,0,2383,3334.0,172.0,360.0,1.0,1,1
140,1,1,0,0,0,2058,2134.0,88.0,360.0,1.0,2,1
141,1,1,0,1,0,2917,536.0,66.0,360.0,1.0,0,0
142,1,0,0,0,0,2014,1929.0,74.0,360.0,1.0,2,1
143,1,1,0,0,0,3166,2064.0,104.0,360.0,0.0,2,0
144,0,0,0,0,0,2138,0.0,99.0,360.0,0.0,1,0
145,1,1,1,0,0,5500,1260.0,170.0,360.0,1.0,0,1
146,1,0,0,0,0,5849,0.0,120.0,360.0,1.0,2,1
147,1,1,2,0,0,5391,0.0,130.0,360.0,1.0,2,1
148,1,1,1,1,0,5333,1131.0,186.0,360.0,1.0,2,1
149,0,1,0,0,0,3166,0.0,36.0,360.0,1.0,1,1
150,1,1,3,1,0,3095,0.0,113.0,360.0,1.0,0,1
151,1,0,0,0,0,3418,0.0,127.0,360.0,1.0,1,0
152,1,0,0,0,0,3333,0.0,70.0,360.0,1.0,2,1
153,0,0,0,1,0,2165,0.0,70.0,360.0,1.0,1,1
154,0,0,0,0,1,4583,0.0,133.0,360.0,0.0,1,0
155,1,1,2,0,1,6250,1300.0,108.0,360.0,1.0,0,1
156,1,0,2,0,0,3617,0.0,107.0,360.0,1.0,1,1
157,1,1,1,0,0,4945,0.0,120.0,360.0,0.0,0,0
158,0,1,1,0,1,19484,0.0,600.0,360.0,1.0,1,1
159,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1
160,1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,2,1
161,1,1,1,0,1,16667,2250.0,86.0,360.0,1.0,1,1
162,1,0,0,0,0,4680,2087.0,120.0,360.0,1.0,1,0
163,1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,1,0
164,0,0,0,0,0,2764,1459.0,110.0,360.0,1.0,2,1
165,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2,1
166,0,0,0,0,1,3463,0.0,122.0,360.0,1.0,2,1
167,1,0,0,0,0,2526,1783.0,145.0,360.0,1.0,0,1
168,1,1,0,0,0,2666,4300.0,121.0,360.0,1.0,0,1
169,1,0,0,0,0,3158,3053.0,89.0,360.0,1.0,0,1
170,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0
171,0,0,1,0,0,2876,1560.0,90.0,360.0,1.0,2,1
172,1,0,2,0,0,5532,4648.0,162.0,360.0,1.0,0,1
173,1,0,0,0,0,5941,4232.0,296.0,360.0,1.0,1,1
174,1,0,0,1,0,2927,2405.0,111.0,360.0,1.0,1,1
175,1,1,0,0,0,6333,4583.0,259.0,360.0,1.0,1,1
176,1,1,1,0,0,3155,1779.0,140.0,360.0,1.0,1,1
177,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1
178,1,1,0,0,0,14583,0.0,436.0,360.0,1.0,1,1
179,1,1,0,0,0,3173,3021.0,137.0,360.0,1.0,2,1
180,1,1,0,0,0,2083,3150.0,128.0,360.0,1.0,1,1
181,0,0,0,0,0,4166,0.0,44.0,360.0,1.0,1,1
182,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1
183,1,0,0,0,0,4000,2500.0,140.0,360.0,1.0,0,1
184,1,1,1,0,1,3466,1210.0,130.0,360.0,1.0,0,1
185,1,0,0,0,0,5124,0.0,124.0,360.0,0.0,0,0
186,0,0,0,0,0,2507,0.0,56.0,360.0,1.0,0,1
187,1,1,1,0,0,8072,240.0,253.0,360.0,1.0,2,1
188,0,1,1,0,0,3326,913.0,105.0,84.0,1.0,1,1
189,1,1,1,0,0,2214,1398.0,85.0,360.0,1.0,2,1
190,1,1,3,0,0,3466,3428.0,150.0,360.0,1.0,0,1
191,0,0,0,0,0,3418,0.0,135.0,360.0,1.0,0,0
192,1,0,0,1,0,3975,2531.0,55.0,360.0,1.0,0,1
193,1,1,2,0,0,16666,0.0,275.0,360.0,1.0,2,1
194,1,0,0,0,0,20233,0.0,480.0,360.0,1.0,0,0
195,1,1,0,0,0,2583,2115.0,120.0,360.0,1.0,2,1
196,0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,1,1
197,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1
198,1,1,2,1,0,4200,1430.0,129.0,360.0,1.0,0,0
199,1,1,2,0,1,2500,4600.0,176.0,360.0,1.0,0,1
200,0,0,1,1,0,5191,0.0,132.0,360.0,1.0,1,1
201,1,1,0,1,0,2894,2792.0,155.0,360.0,1.0,0,1
202,0,0,1,0,0,3481,0.0,155.0,36.0,1.0,1,0
203,1,1,2,1,0,2192,1742.0,45.0,360.0,1.0,1,1
204,1,1,0,0,1,5818,2160.0,184.0,360.0,1.0,1,1
205,1,1,0,0,0,3716,0.0,42.0,180.0,1.0,0,1
206,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,0
207,0,1,2,0,0,4283,2383.0,127.0,360.0,1.0,1,1
208,1,0,0,0,1,6400,0.0,200.0,360.0,1.0,0,1
209,1,0,0,1,0,6216,0.0,133.0,360.0,1.0,0,0
210,1,1,0,0,0,7901,1833.0,180.0,360.0,1.0,0,1
211,1,1,1,1,0,2653,1500.0,113.0,180.0,0.0,0,0
212,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1
213,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1
214,1,1,2,1,0,2281,0.0,113.0,360.0,1.0,0,0
215,1,1,2,0,0,4708,1387.0,150.0,360.0,1.0,1,1
216,0,0,0,0,0,3244,0.0,80.0,360.0,1.0,2,1
217,1,1,3,0,0,4333,1811.0,160.0,360.0,0.0,2,1
218,0,0,0,1,0,3400,0.0,95.0,360.0,1.0,0,0
219,1,1,0,0,0,9083,0.0,228.0,360.0,1.0,1,1
220,0,0,1,1,0,4606,0.0,81.0,360.0,1.0,0,0
221,0,0,0,0,0,3159,0.0,100.0,360.0,1.0,1,1
222,0,1,0,0,0,4583,0.0,84.0,360.0,1.0,0,0
223,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,0
224,0,0,0,0,0,5000,2541.0,151.0,480.0,1.0,0,0
225,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1
226,1,0,0,0,0,5050,0.0,118.0,360.0,1.0,1,1
227,1,1,1,0,0,3315,0.0,96.0,360.0,1.0,1,1
228,1,1,0,0,0,2499,2458.0,160.0,360.0,1.0,1,1
229,0,0,1,0,0,3652,0.0,95.0,360.0,1.0,1,1
230,1,0,0,0,1,11000,0.0,83.0,360.0,1.0,2,0
231,0,0,0,0,0,10000,0.0,214.0,360.0,1.0,1,0
232,0,0,1,0,1,8624,0.0,150.0,360.0,1.0,1,1
233,0,0,0,0,0,2378,0.0,46.0,360.0,1.0,0,0
234,1,1,0,0,0,2333,2417.0,136.0,360.0,1.0,2,1
235,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1
236,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,1
237,1,1,0,0,0,4310,0.0,130.0,360.0,1.0,1,1
238,1,1,2,0,0,5042,2083.0,185.0,360.0,1.0,0,0
239,1,1,1,0,0,5468,1032.0,26.0,360.0,1.0,1,1
240,1,1,1,0,0,18333,0.0,500.0,360.0,1.0,2,0
241,1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,1,1
242,1,1,2,0,0,3900,0.0,90.0,360.0,1.0,1,1
243,1,1,0,0,1,2083,4083.0,160.0,360.0,1.0,1,1
244,1,1,3,1,0,4931,0.0,128.0,360.0,1.0,1,0
245,0,1,0,0,0,4583,0.0,112.0,360.0,1.0,0,0
246,1,1,2,0,1,7948,7166.0,480.0,360.0,1.0,0,1
247,1,1,1,0,0,2750,1842.0,115.0,360.0,1.0,1,1
248,1,1,2,0,0,2947,1603.0,120.0,360.0,1.0,2,0
249,0,0,0,1,0,1963,0.0,53.0,360.0,1.0,1,1
250,1,1,1,1,0,3500,1083.0,135.0,360.0,1.0,2,1
251,1,1,0,0,0,3013,3033.0,95.0,300.0,1.0,2,1
252,1,0,0,0,0,8333,3750.0,187.0,360.0,1.0,0,1
253,1,1,0,0,0,3000,3416.0,56.0,180.0,1.0,1,1
254,1,1,0,0,0,2383,2138.0,58.0,360.0,1.0,0,1
255,1,0,0,0,1,20166,0.0,650.0,480.0,1.0,2,1
256,1,1,0,1,0,1863,1041.0,98.0,360.0,1.0,1,1
257,0,1,0,0,0,2929,2333.0,139.0,360.0,1.0,1,1
258,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0
259,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0
260,1,1,0,1,0,2253,2033.0,110.0,360.0,1.0,0,1
261,1,1,0,0,0,20833,6667.0,480.0,360.0,1.0,2,1
262,1,1,2,0,0,3283,2035.0,148.0,360.0,1.0,2,1
263,1,0,0,0,1,7085,0.0,84.0,360.0,1.0,1,1
264,1,1,2,0,0,4865,5624.0,208.0,360.0,1.0,1,1
265,1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,1
266,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0
267,0,0,0,0,0,6000,0.0,156.0,360.0,1.0,2,1
268,1,1,0,1,0,6033,0.0,160.0,360.0,1.0,2,0
269,1,0,1,1,1,2769,1542.0,190.0,360.0,1.0,1,0
270,1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1
271,1,1,0,1,0,4188,0.0,115.0,180.0,1.0,1,1
272,1,0,0,0,0,3229,2739.0,110.0,360.0,1.0,2,1
273,1,1,0,0,0,3727,1775.0,131.0,360.0,1.0,1,1
274,1,1,2,0,0,3859,0.0,96.0,360.0,1.0,1,1
275,1,1,3,1,0,3173,0.0,74.0,360.0,1.0,1,1
276,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0
277,1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,1,1
278,1,1,0,0,0,3859,3300.0,142.0,180.0,1.0,0,1
279,1,0,0,0,0,1926,1851.0,50.0,360.0,1.0,1,1
280,1,1,0,0,0,1025,2773.0,112.0,360.0,1.0,0,1
281,1,1,0,0,0,5116,1451.0,165.0,360.0,0.0,2,0
282,1,1,2,0,0,9703,0.0,112.0,360.0,1.0,2,1
283,1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,1
284,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2,1
285,1,1,2,0,0,5000,0.0,72.0,360.0,0.0,1,0
286,1,1,3,0,0,15000,0.0,300.0,360.0,1.0,0,1
287,0,0,3,0,0,416,41667.0,350.0,180.0,1.0,2,0
288,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1,1
289,1,1,1,0,0,8300,0.0,152.0,300.0,0.0,1,0
290,1,1,1,0,1,8666,4983.0,376.0,360.0,0.0,0,0
291,1,1,1,0,0,6065,2004.0,250.0,360.0,1.0,1,1
292,1,1,3,0,1,5677,1424.0,100.0,360.0,1.0,0,1
293,1,0,0,0,0,2718,0.0,70.0,360.0,1.0,1,1
294,1,1,0,0,0,3075,2416.0,139.0,360.0,1.0,0,1
295,1,1,3,0,0,3430,1250.0,128.0,360.0,0.0,1,0
296,1,1,0,1,0,1668,3890.0,201.0,360.0,0.0,1,0
297,0,0,0,0,0,3180,0.0,71.0,360.0,0.0,2,0
298,1,1,2,0,0,3340,1710.0,150.0,360.0,0.0,0,0
299,1,1,0,0,0,9328,0.0,188.0,180.0,1.0,0,1
300,0,0,0,0,0,645,3683.0,113.0,480.0,1.0,0,1
301,0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,2,0
302,1,0,0,0,0,2833,1857.0,126.0,360.0,1.0,0,1
303,0,1,0,0,0,2423,505.0,130.0,360.0,1.0,1,1
304,0,0,0,0,1,2600,1717.0,99.0,300.0,1.0,1,0
305,1,1,3,0,0,6406,0.0,150.0,360.0,1.0,1,0
306,1,1,3,0,0,2666,2083.0,95.0,360.0,1.0,0,1
307,1,1,0,0,0,2400,0.0,75.0,360.0,1.0,2,1
308,0,0,0,0,0,2900,0.0,71.0,360.0,1.0,0,1
309,1,0,2,0,0,4354,0.0,136.0,360.0,1.0,0,1
310,1,0,0,0,0,3069,0.0,71.0,480.0,1.0,2,0
311,0,0,3,0,0,3083,0.0,255.0,360.0,1.0,0,1
312,1,1,3,0,0,7740,0.0,128.0,180.0,1.0,2,1
313,1,1,1,1,0,4554,1229.0,158.0,360.0,1.0,2,1
314,1,1,2,0,0,5185,0.0,155.0,360.0,1.0,1,1
315,1,1,3,0,0,4281,0.0,100.0,360.0,1.0,2,1
316,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2,0
317,1,1,1,0,0,6083,4250.0,330.0,360.0,1.0,2,1
318,1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,1
319,1,1,2,1,0,4652,0.0,110.0,360.0,1.0,0,1
320,1,1,2,1,0,7667,0.0,185.0,360.0,1.0,0,1
321,1,0,0,0,0,2237,0.0,63.0,480.0,0.0,1,0
322,1,1,2,1,0,2889,0.0,45.0,180.0,0.0,2,0
323,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1
324,1,0,0,1,0,3598,1287.0,100.0,360.0,1.0,0,0
325,1,1,1,0,0,2787,1917.0,146.0,360.0,0.0,0,0
326,0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,1
327,0,1,0,0,0,3416,2816.0,113.0,360.0,1.0,1,1
328,1,1,2,0,0,3717,0.0,120.0,360.0,1.0,1,1
329,1,0,0,0,0,5417,0.0,168.0,360.0,1.0,2,1
330,1,1,2,1,0,3333,2000.0,99.0,360.0,1.0,1,1
331,1,1,1,0,0,5250,688.0,160.0,360.0,1.0,0,1
332,1,1,3,1,0,2947,1664.0,70.0,180.0,0.0,2,0
333,1,1,2,0,0,3276,484.0,135.0,360.0,1.0,1,1
334,0,0,0,1,0,1907,2365.0,120.0,360.0,1.0,2,1
335,1,1,2,0,0,8333,0.0,246.0,360.0,1.0,1,1
336,1,1,1,0,0,2491,2054.0,104.0,360.0,1.0,1,1
337,1,0,0,0,0,2965,5701.0,155.0,60.0,1.0,2,1
338,1,1,0,0,0,4652,3583.0,120.0,360.0,1.0,1,1
339,0,0,0,0,0,10000,1666.0,225.0,360.0,1.0,0,0
340,1,1,2,1,0,1958,1456.0,60.0,300.0,1.0,2,1
341,1,1,0,0,0,3948,1733.0,149.0,360.0,0.0,0,0
342,1,1,1,0,0,1880,0.0,61.0,360.0,1.0,0,0
343,0,0,0,0,0,1500,1800.0,103.0,360.0,0.0,1,0
344,0,0,0,0,0,2137,8980.0,137.0,360.0,0.0,1,1
345,1,0,0,0,1,6822,0.0,141.0,360.0,1.0,0,1
346,1,0,0,0,0,6277,0.0,118.0,360.0,0.0,0,0
347,1,1,2,0,1,6633,0.0,120.0,360.0,0.0,0,0
348,0,0,0,0,0,5417,0.0,143.0,480.0,0.0,2,0
349,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0
350,1,1,2,1,0,3987,1411.0,157.0,360.0,1.0,0,1
351,1,1,2,0,0,4167,1447.0,158.0,360.0,1.0,0,1
352,1,1,0,0,0,2920,16.12000084,87.0,360.0,1.0,0,1
353,0,0,1,0,0,2600,0.0,160.0,360.0,1.0,2,0
354,1,1,0,0,0,2768,1950.0,155.0,360.0,1.0,0,1
355,1,1,0,0,0,150,1800.0,135.0,360.0,1.0,0,0
356,0,1,0,1,1,7142,0.0,138.0,360.0,1.0,0,1
357,0,0,0,0,0,3813,0.0,116.0,180.0,1.0,2,1
358,1,1,0,0,0,7333,8333.0,175.0,300.0,1.0,0,1
359,1,1,0,0,0,5923,2054.0,211.0,360.0,1.0,0,1
360,1,1,3,0,0,23803,0.0,370.0,360.0,1.0,0,1
361,0,0,0,1,0,4408,0.0,120.0,360.0,1.0,1,1
362,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1
363,1,1,0,0,0,3246,1417.0,138.0,360.0,1.0,1,1
364,1,1,3,1,0,3522,0.0,81.0,180.0,1.0,0,0
365,1,1,0,0,0,2275,2067.0,120.0,360.0,1.0,2,1
366,1,1,0,0,0,2483,2466.0,90.0,180.0,0.0,0,1
367,1,1,0,0,0,4860,830.0,125.0,360.0,1.0,1,1
368,1,0,0,0,0,2935,0.0,98.0,360.0,1.0,1,1
369,1,1,2,0,1,5746,0.0,144.0,84.0,1.0,0,1
370,1,0,0,0,0,3865,1640.0,120.0,360.0,1.0,0,1
371,1,0,0,1,0,6783,0.0,130.0,360.0,1.0,1,1
372,1,1,0,0,0,3033,1459.0,95.0,360.0,1.0,2,1
373,1,1,3,1,0,3850,983.0,100.0,360.0,1.0,1,1
374,0,1,0,0,0,2330,4486.0,100.0,360.0,1.0,1,1
375,1,1,2,0,0,8333,3167.0,165.0,360.0,1.0,0,1
376,1,1,0,0,0,63337,0.0,490.0,180.0,1.0,2,1
377,1,1,3,1,0,2071,754.0,94.0,480.0,1.0,1,1
378,1,1,2,1,0,1993,1625.0,113.0,180.0,1.0,1,1
379,0,0,0,0,1,7441,0.0,194.0,360.0,1.0,0,0
380,0,1,0,1,0,4100,0.0,124.0,360.0,1.0,0,1
381,1,1,0,1,0,3000,1666.0,100.0,480.0,0.0,2,0
382,1,1,0,1,0,4300,2014.0,194.0,360.0,1.0,0,1
383,0,0,0,0,0,4160,0.0,71.0,360.0,1.0,1,1
384,1,1,3,0,0,39999,0.0,600.0,180.0,0.0,1,1
385,1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,2,1
386,1,1,2,0,1,17500,0.0,400.0,360.0,1.0,0,1
387,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1
388,1,1,0,0,0,20667,0.0,120.0,360.0,1.0,0,0
